source	file	name	exec	categories
system	nsys-ui-2025.3.2.desktop	NVIDIA Nsight Systems 2025.3.2	/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/nsys-ui	Application;Development;
system	nvidia-settings.desktop	NVIDIA X Server Settings	/usr/bin/nvidia-settings	System;Settings;
system	nvvp.desktop	NVIDIA Visual Profiler	/usr/local/cuda-13.0/bin/nvvp	Development;Profiling;ParallelComputing
system	openjdk-21-java.desktop	OpenJDK Java 21 Runtime	cautious-launcher %f /usr/bin/java -jar	-
system	org.fcitx.Fcitx5.desktop	Fcitx 5	/usr/bin/fcitx5	System;Utility;
system	org.fcitx.fcitx5-config-qt.desktop	Fcitx 5 Configuration	fcitx5-config-qt	Settings;
system	org.fcitx.fcitx5-migrator.desktop	Fcitx 5 Migration Wizard	fcitx5-migrator	Settings;
system	org.fcitx.fcitx5-qt5-gui-wrapper.desktop	Fcitx 5 Qt5 Gui Wrapper	/usr/libexec/fcitx5-qt5-gui-wrapper	Settings;
system	org.fcitx.fcitx5-qt6-gui-wrapper.desktop	Fcitx 5 Qt6 Gui Wrapper	/usr/libexec/fcitx5-qt6-gui-wrapper	Settings;
system	org.freedesktop.IBus.Panel.Emojier.desktop	Emoji Choice	ibus emoji	-
system	org.freedesktop.IBus.Panel.Extension.Gtk3.desktop	Emoji Choice	/usr/libexec/ibus-extension-gtk3	-
system	org.freedesktop.IBus.Panel.Wayland.Gtk3.desktop	IBus Wayland	/usr/libexec/ibus-ui-gtk3 --enable-wayland-im --exec-daemon --daemon-args "--xim --panel disable"	-
system	org.freedesktop.IBus.Setup.desktop	IBus Preferences	ibus-setup	Settings;
system	org.freedesktop.Xwayland.desktop	Xwayland	-	System;
system	org.gnome.Calculator.desktop	Calculator	gnome-calculator	GNOME;GTK;Utility;Calculator;
system	org.gnome.Characters.desktop	Characters	/usr/bin/gnome-characters	GNOME;GTK;Utility;X-GNOME-Utilities;
system	org.gnome.DiskUtility.desktop	Disks	gnome-disks	GNOME;GTK;Utility;X-GNOME-Utilities;Settings;HardwareSettings;
system	org.gnome.Evince-previewer.desktop	Print Preview	evince-previewer %U	GNOME;GTK;Office;Viewer;Graphics;2DGraphics;VectorGraphics;
system	org.gnome.Evince.desktop	Document Viewer	evince %U	GNOME;GTK;Office;Viewer;Graphics;2DGraphics;VectorGraphics;
system	org.gnome.Evolution-alarm-notify.desktop	Events and Tasks Reminders	/usr/libexec/evolution-data-server/evolution-alarm-notify	-
system	org.gnome.Logs.desktop	Logs	gnome-logs	GTK;GNOME;System;Monitor;Utility;X-GNOME-Utilities;
system	org.gnome.Nautilus.desktop	Files	nautilus --new-window %U	GNOME;GTK;Utility;Core;FileManager;
system	org.gnome.OnlineAccounts.OAuth2.desktop	GNOME OAuth2 Handler	/usr/libexec/goa-oauth2-handler %u	-
system	org.gnome.PowerStats.desktop	Power Statistics	gnome-power-statistics	GNOME;GTK;System;Monitor;
system	org.gnome.RemoteDesktop.Handover.desktop	GNOME Remote Desktop Handover Daemon	/usr/libexec/gnome-remote-desktop-daemon --handover	-
system	org.gnome.Settings.desktop	Settings	gnome-control-center	GNOME;GTK;Settings;
system	org.gnome.Shell.Extensions.desktop	Extensions	false	-
system	org.gnome.Shell.desktop	GNOME Shell	/usr/bin/gnome-shell	GNOME;GTK;Core;
system	org.gnome.Snapshot.desktop	Camera	snapshot	AudioVideo;Video;Recorder;GNOME;GTK;
system	org.gnome.SystemMonitor.desktop	System Monitor	gnome-system-monitor	GNOME;GTK;System;Monitor;
system	org.gnome.Tecla.desktop	Tecla	tecla	GNOME;GTK;Core;System;
system	org.gnome.Terminal.Preferences.desktop	Terminal Preferences	gnome-terminal --preferences	GNOME;GTK;System;TerminalEmulator;
system	org.gnome.Terminal.desktop	Terminal	gnome-terminal	GNOME;GTK;System;TerminalEmulator;
system	org.gnome.TextEditor.desktop	Text Editor	gnome-text-editor %U	GNOME;GTK;Utility;TextEditor;
system	org.gnome.Zenity.desktop	Zenity	zenity	-
system	org.gnome.baobab.desktop	Disk Usage Analyzer	baobab %U	GTK;GNOME;System;Filesystem;X-GNOME-Utilities;
system	org.gnome.clocks.desktop	Clocks	gnome-clocks	GNOME;GTK;Utility;Clock;
system	org.gnome.eog.desktop	Image Viewer	eog %U	GNOME;GTK;Graphics;2DGraphics;RasterGraphics;Viewer;
system	org.gnome.evolution-data-server.OAuth2-handler.desktop	Evolution Data Server OAuth2 Handler	/usr/libexec/evolution-data-server/evolution-oauth2-handler %u	-
system	org.gnome.font-viewer.desktop	Fonts	gnome-font-viewer %u	GTK;GNOME;Utility;X-GNOME-Utilities;
system	org.gnome.seahorse.Application.desktop	Passwords and Keys	seahorse %u	GNOME;GTK;Security;Utility;DesktopSettings;X-XFCE-SettingsDialog;
system	org.gnome.tweaks.desktop	Tweaks	gnome-tweaks	GNOME;GTK;Settings;
system	org.raspberrypi.rpi-imager.desktop	Imager	rpi-imager %F	Utility
system	pulse.desktop	PulseUI	/opt/pulsesecure/bin/pulseUI	Utility;Application;
system	python3.12.desktop	Python (v3.12)	/usr/bin/python3.12	Development;
system	redshift-gtk.desktop	Redshift	redshift-gtk	Utility;
system	redshift.desktop	Redshift	redshift	Utility;
system	rygel.desktop	Rygel	rygel	-
system	snap-handle-link.desktop	Handler for snap:// URIs	/usr/bin/snap handle-link %U	-
system	software-properties-drivers.desktop	Additional Drivers	/usr/bin/software-properties-gtk --open-tab=4	X-XFCE;GTK;Settings;HardwareSettings
system	software-properties-gtk.desktop	Software & Updates	software-properties-gtk	GNOME;GTK;Settings;X-GNOME-SystemSettings;X-GNOME-Settings-Panel;X-Unity-Settings-Panel;
system	software-properties-livepatch.desktop	Livepatch	/usr/bin/software-properties-gtk --open-tab=6	GTK;Settings;HardwareSettings
system	update-manager.desktop	Software Updater	/usr/bin/update-manager	System;Settings;
system	vim.desktop	Vim	vim %F	Utility;TextEditor;
system	vlc.desktop	VLC media player	/usr/bin/vlc --started-from-file %U	AudioVideo;Player;Recorder;
system	xdg-desktop-portal-gnome.desktop	Portal	/usr/libexec/xdg-desktop-portal-gnome	-
system	xdg-desktop-portal-gtk.desktop	Portal	/usr/libexec/xdg-desktop-portal-gtk	-
system	yelp.desktop	Help	yelp %u	GNOME;GTK;Core;Documentation;Utility;
snap	firefox_firefox.desktop	Firefox	/snap/bin/firefox %u	GNOME;GTK;Network;WebBrowser;
snap	firmware-updater_firmware-updater-app.desktop	Firmware Updater	/usr/bin/false	System;
snap	firmware-updater_firmware-updater.desktop	Firmware Updater	/snap/bin/firmware-updater	System;
snap	snap-store_packagekit-session-installer.desktop	App Center	/usr/bin/false	System;Utility;PackageManager;SoftwareManagement;Network;Settings;
snap	snap-store_show-updates.desktop	App Center Updates	/snap/bin/snap-store.show-updates --updates %U	System;Utility;PackageManager;SoftwareManagement;Network;Settings;
snap	snap-store_snap-store.desktop	App Center	/snap/bin/snap-store %U	System;Utility;PackageManager;SoftwareManagement;Network;Settings;
snap	snapd-desktop-integration_snapd-desktop-integration.desktop	App Updates	/usr/bin/false	-
snap	telegram-desktop_telegram-desktop.desktop	Telegram	/snap/bin/telegram-desktop -- %U	Chat;Network;InstantMessaging;Qt;
