gamemode	1.8.1-2build1	amd64
gamemode-daemon	1.8.1-2build1	amd64
gammastep	2.0.9-1build2	amd64
gcc	4:13.2.0-7ubuntu1	amd64
gcc-13	13.3.0-6ubuntu2~24.04.1	amd64
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1	amd64
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	amd64
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1	amd64
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1	amd64
gcr	3.41.2-1build3	amd64
gcr4	4.2.0-5	amd64
gdb	15.1-1ubuntu1~24.04.1	amd64
gdisk	1.0.10-1build1	amd64
gdm3	46.2-1ubuntu1~24.04.7	amd64
gds-tools-13-0	1.15.1.6-1	amd64
geoclue-2.0	2.7.0-3ubuntu7	amd64
geocode-glib-common	3.26.3-6build3	all
gettext-base	0.21-14ubuntu2	amd64
gh	2.45.0-1ubuntu0.3	amd64
ghostscript	10.02.1~dfsg1-0ubuntu7.8	amd64
gir1.2-accountsservice-1.0:amd64	23.13.9-2ubuntu6	amd64
gir1.2-adw-1:amd64	1.5.0-1ubuntu2	amd64
gir1.2-atk-1.0:amd64	2.52.0-1build1	amd64
gir1.2-atspi-2.0:amd64	2.52.0-1build1	amd64
gir1.2-ayatanaappindicator3-0.1	0.5.93-1build3	amd64
gir1.2-freedesktop:amd64	1.80.1-1	amd64
gir1.2-gck-2:amd64	4.2.0-5	amd64
gir1.2-gcr-4:amd64	4.2.0-5	amd64
gir1.2-gdesktopenums-3.0:amd64	46.1-0ubuntu1	amd64
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-3ubuntu3.3	amd64
gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.7	amd64
gir1.2-geoclue-2.0:amd64	2.7.0-3ubuntu7	amd64
gir1.2-girepository-2.0:amd64	1.80.1-1	amd64
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.8	amd64
gir1.2-gmenu-3.0:amd64	3.36.0-1.1ubuntu3	amd64
gir1.2-gnomeautoar-0.1:amd64	0.4.4-2build4	amd64
gir1.2-gnomebg-4.0:amd64	44.0-5build2	amd64
gir1.2-gnomebluetooth-3.0:amd64	46.0-1ubuntu1	amd64
gir1.2-gnomedesktop-3.0:amd64	44.0-5build2	amd64
gir1.2-gnomedesktop-4.0:amd64	44.0-5build2	amd64
gir1.2-graphene-1.0:amd64	1.10.8-3build2	amd64
